iter	Passed	Remaining
399	34350	8587
400	34451	8505
401	34531	8418
402	34604	8329
403	34692	8243
404	34776	8157
405	34869	8073
406	34948	7985
407	35032	7899
408	35103	7810
409	35190	7724
410	35283	7640
411	35363	7553
412	35436	7464
413	35527	7380
414	35608	7293
415	35684	7205
416	35759	7117
417	35838	7030
418	35912	6942
419	35989	6855
420	36069	6768
421	36151	6681
422	36232	6595
423	36316	6509
424	36409	6425
425	36492	6339
426	36568	6251
427	36636	6163
428	36755	6083
429	36879	6003
430	36964	5917
431	37052	5832
432	37168	5751
433	37248	5664
434	37372	5584
435	37474	5500
436	37573	5416
437	37649	5329
438	37747	5245
439	37876	5164
440	37958	5078
441	38063	4994
442	38145	4908
443	38238	4822
444	38323	4736
445	38397	4649
446	38476	4562
447	38564	4476
448	38660	4391
449	38738	4304
450	38835	4219
451	38928	4134
452	39014	4047
453	39096	3961
454	39183	3875
455	39268	3789
456	39349	3702
457	39429	3615
458	39488	3527
459	39547	3438
460	39627	3352
461	39716	3266
462	39794	3180
463	39875	3093
464	39950	3007
465	40035	2921
466	40116	2834
467	40200	2748
468	40285	2662
469	40359	2576
470	40450	2490
471	40527	2404
472	40616	2318
473	40713	2233
474	40789	2146
475	40868	2060
476	40937	1973
477	40999	1886
478	41068	1800
479	41139	1714
480	41206	1627
481	41291	1541
482	41358	1455
483	41422	1369
484	41490	1283
485	41557	1197
486	41624	1111
487	41723	1025
488	41807	940
489	41886	854
490	41986	769
491	42086	684
492	42173	598
493	42264	513
494	42387	428
495	42460	342
496	42545	256
497	42632	171
498	42739	85
499	42826	0
