iter	Logloss
0	0.6634373296
1	0.6383440441
2	0.6134616852
3	0.5909246639
4	0.5729976257
5	0.5571940529
6	0.5412281443
7	0.5275309891
8	0.5167051471
9	0.5064323291
10	0.4979234094
11	0.4886185563
12	0.4813323873
13	0.473654643
14	0.4677591039
15	0.4614682352
16	0.4574730755
17	0.4523498301
18	0.4484212682
19	0.4444973592
20	0.4419730812
21	0.4382082086
22	0.4361432729
23	0.4343064676
24	0.4320899563
25	0.4300916278
26	0.4278554848
27	0.4259785425
28	0.4240965607
29	0.4224686853
30	0.4211644926
31	0.4198179169
32	0.4183411497
33	0.4166145075
34	0.4156809114
35	0.4147847442
36	0.4138804829
37	0.4128611511
38	0.4116970492
39	0.4109632506
40	0.4098024621
41	0.4088732354
42	0.4079576252
43	0.4070910894
44	0.4068177232
45	0.4064375157
46	0.4057824521
47	0.4046883845
48	0.4045654817
49	0.403835325
50	0.4032327055
51	0.4024022249
52	0.4022565425
53	0.4019346639
54	0.4016244062
55	0.4005752351
56	0.3997338262
57	0.3991424127
58	0.3985717827
59	0.3979983394
60	0.397301713
61	0.3964815424
62	0.3957723538
63	0.3955366502
64	0.3952262838
65	0.3947583086
66	0.3939541873
67	0.3933217568
68	0.3928565324
69	0.3922557051
70	0.3917329969
71	0.3914228377
72	0.3912087837
73	0.3910022784
74	0.3906145548
75	0.3905836656
76	0.3899913455
77	0.3892720029
78	0.3889299529
79	0.3888989562
80	0.3887671134
81	0.3884589509
82	0.3878563683
83	0.3874611817
84	0.3869249741
85	0.3865160655
86	0.386038355
87	0.3859891764
88	0.3856728095
89	0.3850356239
90	0.3846765749
91	0.3844482188
92	0.3839122725
93	0.3838943349
94	0.3838639735
95	0.3838070327
96	0.3837888304
97	0.3835289698
98	0.3832862227
99	0.382951236
100	0.3826207405
101	0.3821621828
102	0.3818455575
103	0.3810971076
104	0.3810397104
105	0.3802179354
106	0.3798811738
107	0.3795611624
108	0.3793317636
109	0.3790108916
110	0.3787264134
111	0.378423246
112	0.3781713609
113	0.3781002216
114	0.3780999938
115	0.377815274
116	0.377669278
117	0.3772468503
118	0.3768258244
119	0.3766035384
120	0.3764139522
121	0.3760569879
122	0.375736909
123	0.3755763096
124	0.3752159162
125	0.3750913565
126	0.3750216347
127	0.3747196435
128	0.3743337923
129	0.3740863491
130	0.3739440734
131	0.3739437993
132	0.3733703904
133	0.3730865942
134	0.3728896019
135	0.3725917246
136	0.372135998
137	0.372043089
138	0.3715300389
139	0.3710945397
140	0.3709278983
141	0.3704528622
142	0.3699314298
143	0.3695056704
144	0.3694837321
145	0.3690632863
146	0.3687898376
147	0.3687823531
148	0.3681050968
149	0.3679924601
150	0.3678592828
151	0.3673800337
152	0.367035013
153	0.3666549715
154	0.3664641344
155	0.3660157129
156	0.365610527
157	0.3655384015
158	0.3651731671
159	0.3648965281
160	0.364552659
161	0.3640518383
162	0.3636380861
163	0.3633392119
164	0.3627536359
165	0.3624367406
166	0.3619607841
167	0.3616281741
168	0.3612624842
169	0.3606057221
170	0.3603227282
171	0.3599540452
172	0.3597459727
173	0.3591089496
174	0.3587366217
175	0.3583633246
176	0.3581748057
177	0.357858955
178	0.3574684259
179	0.3568971111
180	0.3564118736
181	0.3559697474
182	0.3554129126
183	0.3551440106
184	0.3546935461
185	0.3542858367
186	0.3538365809
187	0.3531464349
188	0.3526397057
189	0.3521534271
190	0.3518663546
191	0.3512640873
192	0.3509644082
193	0.3506341336
194	0.3501261586
195	0.3498217958
196	0.3495951144
197	0.3490336192
198	0.3485557878
199	0.348089316
200	0.3477501025
201	0.3475242349
202	0.3472240648
203	0.3468787941
204	0.3466806326
205	0.3462437211
206	0.3459055395
207	0.3454416258
208	0.3451979599
209	0.3448904843
210	0.3445879232
211	0.3441636258
212	0.3440007436
213	0.343672363
214	0.3432733171
215	0.3429639207
216	0.3425139026
217	0.3421029538
218	0.3416037923
219	0.3412070805
220	0.340820576
221	0.3403963505
222	0.340014656
223	0.3395553418
224	0.3393208194
225	0.3387644713
226	0.3384299207
227	0.3382704858
228	0.3375007322
229	0.3373957869
230	0.3369886009
231	0.3367022219
232	0.3363503055
233	0.3358591088
234	0.3355043775
235	0.3351213816
236	0.3347392281
237	0.3343184173
238	0.3338070219
239	0.3334011519
240	0.3330865892
241	0.3328243338
242	0.3326323834
243	0.3321200443
244	0.3317492165
245	0.331224078
246	0.3309045333
247	0.3306655886
248	0.3303007321
249	0.3298264989
250	0.3294210093
251	0.3291553812
252	0.328870078
253	0.3286890653
254	0.3283436526
255	0.3282474143
256	0.3275081508
257	0.3271850756
258	0.3266937556
259	0.3264708481
260	0.3261538391
261	0.3254355676
262	0.3249996859
263	0.3243732918
264	0.3240776565
265	0.3236148505
266	0.3230207682
267	0.3225173209
268	0.3220665454
269	0.3217166681
270	0.3214890858
271	0.3209628708
272	0.3206269184
273	0.3204032816
274	0.3201792259
275	0.3198334057
276	0.3195850002
277	0.3192839194
278	0.3187917104
279	0.318437872
280	0.3180786048
281	0.3177746901
282	0.3173197967
283	0.3170727061
284	0.3165208778
285	0.3161813728
286	0.3156819723
287	0.3152917275
288	0.3148701762
289	0.3147687359
290	0.3143528161
291	0.3139368233
292	0.3136531331
293	0.3134238953
294	0.3131433829
295	0.3130427156
296	0.3126353846
297	0.3122383085
298	0.3118291241
299	0.3115044526
300	0.3113947405
301	0.3110891815
302	0.3105983911
303	0.3103634767
304	0.310064883
305	0.3097234626
306	0.3093081185
307	0.3089619297
308	0.3087381851
309	0.3084045085
310	0.3078866527
311	0.3077253829
312	0.3074043594
313	0.3071209893
314	0.3069391095
315	0.3066292298
316	0.3063818907
317	0.3062781799
318	0.305693842
319	0.3054418299
320	0.3051845382
321	0.3050098547
322	0.3046882308
323	0.3042637119
324	0.304004822
325	0.3038177594
326	0.3032961008
327	0.3029038309
328	0.3027228079
329	0.3024583561
330	0.3019711823
331	0.3017082168
332	0.3010639779
333	0.3004970596
334	0.3000536839
335	0.2995430758
336	0.2989316656
337	0.2985011447
338	0.298133561
339	0.2977726695
340	0.2972787007
341	0.2968738509
342	0.2965589045
343	0.2959934949
344	0.2958526447
345	0.2956353366
346	0.2953772244
347	0.2952044359
348	0.2947144558
349	0.294457156
350	0.2942368879
351	0.293883954
352	0.2934881082
353	0.2933317014
354	0.2927871686
355	0.2923655751
356	0.2919608735
357	0.2916393103
358	0.2913257438
359	0.2908379625
360	0.2908027627
361	0.2905910617
362	0.2903336034
363	0.2899127002
364	0.2896077684
365	0.2893390108
366	0.2890480074
367	0.2887312113
368	0.288456298
369	0.2883387017
370	0.2879941791
371	0.2878503172
372	0.2874395937
373	0.287328108
374	0.2870707861
375	0.2867895626
376	0.2863940784
377	0.2861586217
378	0.2857018626
379	0.2853741638
380	0.2851027068
381	0.2848468342
382	0.2846050055
383	0.2844598047
384	0.2840443651
385	0.283506816
386	0.283340692
387	0.282948831
388	0.2828340927
389	0.2826879463
390	0.2824007377
391	0.2821973239
392	0.2818995716
393	0.2816058779
394	0.2813308855
395	0.2810952511
396	0.2807350044
397	0.2802923261
398	0.280006294
399	0.2795845216
400	0.2794007611
401	0.2791896852
402	0.2787752224
403	0.2782882765
404	0.2776712531
405	0.2774072036
406	0.2771319891
407	0.2767803434
408	0.2764833578
409	0.2761261868
410	0.2759744088
411	0.2756549834
412	0.2754557876
413	0.2751692049
414	0.2749508316
415	0.274914761
416	0.2747184954
417	0.2744709875
418	0.2742266003
419	0.273824943
420	0.273628425
421	0.2729614248
422	0.2726059188
423	0.2724383213
424	0.2724131667
425	0.2719914784
426	0.2716851995
427	0.2715708631
428	0.2711909513
429	0.2709347418
430	0.2706817113
431	0.2703543256
432	0.2701811538
433	0.2699019029
434	0.2695920465
435	0.269279947
436	0.269070057
437	0.268921588
438	0.2685557025
439	0.2683452366
440	0.2681000667
441	0.2678785756
442	0.2676791712
443	0.2674837207
444	0.26727041
445	0.2669869071
446	0.2667433626
447	0.2665493552
448	0.2662944256
449	0.2660097214
450	0.2656908253
451	0.2653942213
452	0.2651361836
453	0.2648679185
454	0.2646292201
455	0.2641522894
456	0.2638085074
457	0.2637785299
458	0.263466467
459	0.263191822
460	0.262922755
461	0.2626414876
462	0.2624361788
463	0.2620762348
464	0.2619795517
465	0.2618173374
466	0.2616455174
467	0.261320432
468	0.2609786541
469	0.2607472417
470	0.2602527589
471	0.2600714216
472	0.2599954617
473	0.2597364238
474	0.2595941479
475	0.2591605803
476	0.258897556
477	0.2586906441
478	0.2583706316
479	0.2581040265
480	0.2578688605
481	0.2572415626
482	0.2568149949
483	0.2564638938
484	0.2561954645
485	0.2559707859
486	0.2559402654
487	0.255695016
488	0.2554342334
489	0.2552814012
